ProjectType,NamePlateRating,InServiceDate,ProjectStatus,ProjectID,CompletionDate,ProjectCircuitID,Hybrid,SolarPV,EnergyStorageSystem,Wind,MicroTurbine,SynchronousGenerator,InductionGenerator,FarmWaste,FuelCell,CombinedHeatandPower,GasTurbine,Hydro,InternalCombustionEngine,SteamTurbine,Other
NRESPHOTO,2000,NULL,NULL,10415,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,10416,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,10417,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,10000,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,11128,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,4000,NULL,NULL,11430,NULL,NULL,N,4000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,11445,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,236,NULL,NULL,11475,NULL,NULL,N,236,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,11515,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,11520,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,11526,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,11527,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,4000,NULL,NULL,11528,NULL,NULL,N,4000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,11547,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,8000,NULL,NULL,11564,NULL,NULL,N,8000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,204,NULL,NULL,11568,NULL,NULL,N,204,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,11595,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,11596,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,204,NULL,NULL,11615,NULL,NULL,N,204,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,4000,NULL,NULL,11303,NULL,NULL,N,4000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,11360,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,11361,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,11644,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,11672,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,4000,NULL,NULL,11673,NULL,NULL,N,4000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,199.92,NULL,NULL,11777,NULL,NULL,N,199.92,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,6000,NULL,NULL,11779,NULL,NULL,N,6000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,11948,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,1980,NULL,NULL,12103,NULL,NULL,N,1980,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,12125,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,12126,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,12467,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
ComWind,200100,NULL,NULL,12492,NULL,NULL,N,0,0,200100,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,1996,NULL,NULL,12675,NULL,NULL,N,1996,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,200,NULL,NULL,12684,NULL,NULL,N,200,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDRO,6000,NULL,NULL,12925,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,6000,0,0,0
NRESPHOTO,2160,NULL,NULL,13031,NULL,NULL,N,2160,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,13117,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,10000,NULL,NULL,13141,NULL,NULL,N,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,4000,NULL,NULL,13212,NULL,NULL,N,4000,0,0,0,0,0,0,0,0,0,0,0,0,0
ComWind,100000,NULL,NULL,13218,NULL,NULL,N,0,0,100,0,0,0,0,0,0,0,0,0,0,0
ComWind,145.4,NULL,NULL,13220,NULL,NULL,N,0,0,145.4,0,0,0,0,0,0,0,0,0,0,0
ComSolar,20000,NULL,NULL,13223,NULL,NULL,N,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmission,NULL,NULL,NULL,13224,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ComSolar,90000,NULL,NULL,13227,NULL,NULL,N,90000,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmission,NULL,NULL,NULL,13231,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmission,0,NULL,NULL,13233,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GASTurbine,513400,NULL,NULL,13234,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmission,NULL,NULL,NULL,13236,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHP,1000,NULL,NULL,12735,NULL,NULL,N,0,0,0,0,0,0,0,0,1000,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,13188,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,13189,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmission,NULL,NULL,NULL,13241,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ComWind,381100,NULL,NULL,13244,NULL,NULL,N,0,0,381100,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2400,NULL,NULL,13273,NULL,NULL,N,2400,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,13312,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,13313,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,13314,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,13315,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
ESS,150,NULL,NULL,13556,NULL,NULL,N,0,150,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,13589,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmission,126000,NULL,NULL,13614,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,8000,NULL,NULL,13636,NULL,NULL,N,8000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,3000,NULL,NULL,13660,NULL,NULL,N,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmission,NULL,NULL,NULL,13738,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmission,NULL,NULL,NULL,13739,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,13751,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,13795,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,13796,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,990,NULL,NULL,13807,NULL,NULL,N,990,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,13828,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmission,0,NULL,NULL,13995,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,4500,NULL,NULL,14056,NULL,NULL,N,4500,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,1990,NULL,NULL,14057,NULL,NULL,N,1990,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,14122,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,750,NULL,NULL,14179,NULL,NULL,N,750,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,14268,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,14269,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,1000,NULL,NULL,14284,NULL,NULL,N,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmission,NULL,NULL,NULL,14287,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,600,NULL,NULL,14298,NULL,NULL,N,600,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,14350,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,4995,NULL,NULL,14361,NULL,NULL,N,4995,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,4500,NULL,NULL,14373,NULL,NULL,N,4500,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,4995,NULL,NULL,14392,NULL,NULL,N,4995,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,4995,NULL,NULL,14406,NULL,NULL,N,4995,0,0,0,0,0,0,0,0,0,0,0,0,0
PVESS,5000,NULL,NULL,14409,NULL,NULL,N,0,5000,0,0,0,0,0,0,0,0,0,0,0,0
PVESS,5000,NULL,NULL,14434,NULL,NULL,N,0,5000,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,14438,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmission,60000,NULL,NULL,14454,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,14473,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,4999,NULL,NULL,14501,NULL,NULL,N,4999,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,4000,NULL,NULL,14543,NULL,NULL,N,4000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,14544,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,14545,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,14579,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,14580,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,14581,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,14582,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,14583,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,4000,NULL,NULL,14618,NULL,NULL,N,4000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,14625,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,14702,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
ESS,5000,NULL,NULL,14730,NULL,NULL,N,0,5000,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,14733,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,14849,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,14857,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,14858,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,14859,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,14860,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,14861,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,14924,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,14925,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,14926,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,14927,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2500,NULL,NULL,14954,NULL,NULL,N,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,15084,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,15085,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,15086,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,15087,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,4990,NULL,NULL,15139,NULL,NULL,N,4990,0,0,0,0,0,0,0,0,0,0,0,0,0
ComSolar,20000,NULL,NULL,15165,NULL,NULL,N,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,1992,NULL,NULL,15175,NULL,NULL,N,1992,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,15235,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,15245,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2000,NULL,NULL,15254,NULL,NULL,N,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,15267,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,15286,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmission,250000,NULL,NULL,15313,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmission,50000,NULL,NULL,15314,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,15296,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
ComSolar,350000,NULL,NULL,15395,NULL,NULL,N,350000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,4995,NULL,NULL,15501,NULL,NULL,N,4995,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,15507,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,15585,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,4000,NULL,NULL,15614,NULL,NULL,N,4000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2625,NULL,NULL,15636,NULL,NULL,N,2625,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,4000,NULL,NULL,15651,NULL,NULL,N,4000,0,0,0,0,0,0,0,0,0,0,0,0,0
PVESS,728,NULL,NULL,15672,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,15755,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,15824,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,15898,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,15902,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVESS,5000,NULL,NULL,16027,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,16035,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,16042,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,16063,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,16066,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,16070,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,16088,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,16093,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,16105,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,16118,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,3500,NULL,NULL,16130,NULL,NULL,N,3500,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,16134,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,16150,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,16167,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,16180,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,16200,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,16204,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,16205,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,16243,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2625,NULL,NULL,16246,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,16274,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,16386,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,15000,NULL,NULL,16483,NULL,NULL,N,15000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,16497,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
MVDC,300000,NULL,NULL,16542,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,420,NULL,NULL,16652,NULL,NULL,N,420,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,175,NULL,NULL,16655,NULL,NULL,N,175,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,1000,NULL,NULL,16658,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,2700,NULL,NULL,16766,NULL,NULL,N,2700,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,9000,NULL,NULL,16769,NULL,NULL,N,9000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,16770,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,16771,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,16772,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,5000,NULL,NULL,16776,NULL,NULL,N,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,4999,NULL,NULL,16781,NULL,NULL,N,4999,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,266.4,NULL,NULL,16810,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,200,NULL,NULL,16900,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRESPHOTO,150,NULL,NULL,16902,NULL,NULL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIOGAS,1000,NULL,NULL,16916,NULL,NULL,Y,0,0,0,0,0,0,1000,0,1000,0,0,0,0,0
